director_name,movie_count,total_revenue_b,avg_revenue_m,avg_budget_m,avg_profit_m,avg_rating,avg_popularity,top_movie,revenue_rank,rating_rank
James Cameron,9,10.23,1136.5,158,978.5,7.62,34.8,Terminator 2: Judgment Day,1,9
Steven Spielberg,30,9.76,325.2,63,262.2,7.06,9.5,Schindler's List,2,53
Joe Russo,9,6.72,746.9,181.8,565.1,5.8,15.8,Avengers: Infinity War,3,204
Anthony Russo,9,6.72,746.9,181.8,565.1,5.8,15.8,Avengers: Endgame,4,203
Peter Jackson,9,6.51,723.1,143.4,579.7,7.66,16.4,The Lord of the Rings: The Return of the King,5,7
Christopher Nolan,13,6.15,473.3,131.5,341.8,7.23,19.1,The Dark Knight,6,31
David Yates,7,5.74,820.2,190.7,629.5,7.29,13.2,Harry Potter and the Deathly Hallows: Part 2,7,28
Tim Burton,18,4.88,271.4,83.8,187.6,6.96,8.8,Big Fish,8,75
J.J. Abrams,6,4.66,775.9,212.5,563.4,6.97,10.4,Star Trek,9,72
Jon Favreau,9,4.36,484.1,134.7,349.3,6.03,11.3,Iron Man,10,194
Ridley Scott,20,4.34,216.9,97.3,119.6,6.94,10.3,Gladiator,11,81
Sam Raimi,11,4.21,382.5,109.7,272.8,6.94,14.8,Evil Dead II,12,83
James Wan,10,4.18,417.5,67.6,349.9,6.97,10.5,The Conjuring,13,70
Roland Emmerich,12,4.13,344.2,115.3,228.9,6.35,7.4,The Patriot,14,171
Byron Howard,6,3.99,665.3,143.3,522,6.18,50.5,Zootopia,15,181
Jon Watts,5,3.94,788,123,665,6.99,19,Spider-Man: No Way Home,16,68
Michael Bay,12,3.83,319.5,110.2,209.4,6.63,7.8,13 Hours: The Secret Soldiers of Benghazi,17,133
Shawn Levy,10,3.82,382.1,108.3,273.8,6.63,10.8,Deadpool & Wolverine,18,135
Robert Zemeckis,16,3.74,233.6,56.9,176.6,7.14,9,Forrest Gump,19,43
Pierre Coffin,5,3.71,741.7,59.8,681.9,5.42,11.9,Despicable Me,20,220
Francis Lawrence,9,3.64,404.7,98.8,305.9,7.02,10.3,The Hunger Games: Catching Fire,21,61
Chris Buck,5,3.58,716,138,578,6.91,13.2,Tarzan,22,89
Gore Verbinski,8,3.47,433.1,134.8,298.4,7.19,11.3,"Good Luck, Have Fun, Don't Die",23,37
Brad Bird,6,3.43,570.9,137.8,433.1,7.39,12.4,The Iron Giant,24,16
Chris Columbus,9,3.37,374.7,66.8,307.9,6.96,12.9,Harry Potter and the Philosopher's Stone,25,76
James Gunn,9,3.31,368.2,117.1,251.2,7,14.9,Guardians of the Galaxy Vol. 3,26,67
Chris Renaud,5,3.26,652.5,79,573.5,6.93,13.3,Despicable Me,27,85
George Lucas,5,3.2,639.8,71.8,568,7.08,11,Star Wars,28,49
Kyle Balda,9,3.13,348.3,26.6,321.7,5.44,6.9,Minions: The Rise of Gru,29,219
Ron Howard,12,3.1,258.3,90.8,167.5,6.95,8.2,A Beautiful Mind,30,79
Sam Mendes,6,3.07,511.6,118.7,393,7.3,8.8,American Beauty,31,26
Bryan Singer,7,3.01,430.5,139.9,290.6,6.97,9.4,The Usual Suspects,32,71
Joseph Kosinski,5,2.84,568.4,149.6,418.8,7.32,17.3,Top Gun: Maverick,33,25
Ryan Coogler,5,2.77,553.7,115.6,438.1,7.33,17.7,Sinners,34,24
M. Night Shyamalan,11,2.73,248.4,48.7,199.7,5.9,7.6,The Sixth Sense,35,199
Mike Mitchell,8,2.69,336.8,83.8,253.1,6.34,7.9,Kung Fu Panda 4,36,173
Rob Marshall,6,2.65,441.2,164.3,276.8,6.65,9.1,Memoirs of a Geisha,37,127
Guy Ritchie,13,2.6,200.1,76.4,123.7,7.12,9.1,Snatch,38,47
Andrew Adamson,5,2.59,517.8,123,394.8,7.01,14.8,Shrek,39,63
Zack Snyder,10,2.57,256.7,110.4,146.3,6.7,10,Zack Snyder's Justice League,40,119
Conrad Vernon,7,2.53,361.3,75.6,285.7,5.63,8.9,Shrek 2,41,211
Todd Phillips,7,2.5,357.6,74.6,283,6.72,10.9,Joker,42,117
Eric Darnell,5,2.44,487.6,112.4,375.2,6.56,10.7,Madagascar,43,143
Jon M. Chu,6,2.38,396.6,100.5,296.1,6.65,12.7,Crazy Rich Asians,44,128
Tom McGrath,5,2.36,472.3,116.4,355.9,6.88,11.4,The Boss Baby: Family Business,45,92
Jake Kasdan,5,2.24,448.4,100.6,347.8,6.47,9.2,Red One,46,158
Barry Sonnenfeld,7,2.24,319.8,107.4,212.4,6.48,7.4,Men in Black,47,156
Martin Scorsese,17,2.18,128.5,71.6,56.8,7.59,10.5,GoodFellas,48,10
David Fincher,13,2.14,164.9,65.4,99.5,6.82,11.6,Fight Club,49,102
Clint Eastwood,12,2.14,178.6,35.7,142.9,7.5,6.5,Gran Torino,50,11
David Leitch,5,2.07,413.3,111,302.3,7.03,14,Deadpool 2,51,60
Steven Soderbergh,17,2.06,121.4,33.4,88,6.4,6.1,Ocean's Eleven,52,165
James Mangold,9,2,221.9,89.9,132,7.2,8.9,Ford v Ferrari,53,34
Louis Leterrier,8,1.98,246.9,97.3,149.7,5.69,11.1,Now You See Me,54,208
Quentin Tarantino,11,1.96,177.8,42.7,135.1,7.84,13.6,Pulp Fiction,55,4
F. Gary Gray,7,1.94,277.2,71.6,205.6,6.86,7.7,Straight Outta Compton,56,98
Jon Turteltaub,8,1.88,235.1,86.9,148.2,6.42,7,Cool Runnings,57,162
Ruben Fleischer,6,1.83,305.6,75.3,230.3,6.8,17.6,Zombieland,58,105
Martin Campbell,11,1.81,164.9,69.2,95.7,6.49,7.9,Casino Royale,59,154
Denis Villeneuve,10,1.81,180.5,63.5,117.1,6.78,15.7,Dune: Part Two,60,109
Chris Sanders,5,1.8,359.7,113.4,246.3,7.63,12.7,The Wild Robot,61,8
Marc Webb,5,1.77,354.7,139.9,214.8,6.58,13.1,Gifted,62,139
Kenneth Branagh,8,1.74,217.5,79.4,138.1,6.53,9.6,Listening,63,147
Taika Waititi,5,1.72,344.5,89.3,255.2,7.37,10.5,Jojo Rabbit,64,20
Ang Lee,8,1.63,203.9,61.1,142.8,6.91,7.7,Brokeback Mountain,65,88
Tony Scott,10,1.62,162.2,61.8,100.4,6.87,5.5,True Romance,66,94
Rob Letterman,5,1.59,318.8,114,204.8,6.14,7.4,Pokémon Detective Pikachu,67,184
Dennis Dugan,8,1.55,193.8,67.5,126.3,6.08,7.4,Just Go with It,68,190
Antoine Fuqua,16,1.55,96.9,55.3,41.6,6.39,8.5,Emancipation,69,168
Paul Feig,10,1.54,153.7,37,116.7,6.55,36.2,The Housemaid,70,144
Wolfgang Petersen,7,1.53,218.8,91.3,127.5,6.61,6.9,The NeverEnding Story,71,137
Marc Forster,6,1.48,247,92.5,154.5,5.91,7.9,A Man Called Otto,72,198
Richard Donner,8,1.45,181.4,47,134.4,6.94,6.5,The Goonies,73,82
Peter Farrelly,8,1.45,180.6,34.3,146.4,6.36,6.9,Green Book,74,170
Doug Liman,8,1.43,179,71,108,6.85,8.7,Edge of Tomorrow,75,100
Jaume Collet-Serra,10,1.43,142.5,68.4,74.1,6.67,8.9,Jungle Cruise,76,125
Hayao Miyazaki,12,1.41,117.9,17.6,100.3,7.94,9.8,Spirited Away,77,2
Robert Rodriguez,15,1.39,92.9,43.6,49.3,6.26,6.5,Sin City,78,177
Ron Clements,6,1.39,231.2,68.7,162.5,7.39,10.5,Aladdin,79,17
John Musker,6,1.39,231.2,68.7,162.5,7.39,10.5,Aladdin,80,18
Scott Derrickson,7,1.37,196.2,58.4,137.8,6.88,12.7,The Gorge,81,93
